Full sealed-sector lists (best variant = A and B, identical).
  (19,23) type=1 normal           Item=  -1 addl=0
  (20,23) type=1 normal           Item=  -1 addl=0
  (21,23) type=4 door_trigger     Item=  -1 addl=131
  (22,23) type=1 normal           Item=  -1 addl=0
  (23,23) type=1 normal           Item= 275 addl=0
  (24,23) type=1 normal           Item=  -1 addl=0
  (26,23) type=1 normal           Item= 276 addl=0
  (27,23) type=1 normal           Item= 277 addl=0
  (28,23) type=1 normal           Item= 278 addl=0
  (21,24) type=1 normal           Item=  -1 addl=0
  (23,24) type=1 normal           Item=  -1 addl=0
  (26,24) type=1 normal           Item= 281 addl=0
  ( 4,25) type=1 normal           Item= 282 addl=0
  ( 7,25) type=1 normal           Item=  -1 addl=0
  (10,25) type=7 pillar           Item=  97 addl=0
  (12,25) type=1 normal           Item=  -1 addl=0
  (16,25) type=1 normal           Item= 285 addl=0
  (17,25) type=7 pillar           Item=  76 addl=0
  (21,25) type=1 normal           Item= 286 addl=0
  (23,25) type=1 normal           Item= 287 addl=0
  (24,25) type=1 normal           Item= 288 addl=0
  (25,25) type=1 normal           Item= 289 addl=0
  (26,25) type=1 normal           Item=  -1 addl=0
  (27,25) type=1 normal           Item= 290 addl=0
  (28,25) type=1 normal           Item= 291 addl=0
  ( 7,26) type=1 normal           Item= 104 addl=0
  ( 9,26) type=7 pillar           Item=  68 addl=0
  (16,26) type=1 normal           Item= 298 addl=0
  (21,26) type=1 normal           Item=  -1 addl=0
  (22,26) type=1 normal           Item= 107 addl=0
  (23,26) type=1 normal           Item= 299 addl=0
  (25,26) type=1 normal           Item= 300 addl=0
  (27,26) type=1 normal           Item= 301 addl=0
  ( 1,27) type=1 normal           Item= 102 addl=0
  ( 7,27) type=1 normal           Item= 306 addl=0
  (16,27) type=1 normal           Item= 128 addl=0
  (17,27) type=1 normal           Item=  -1 addl=0
  (18,27) type=1 normal           Item=  -1 addl=0
  (22,27) type=1 normal           Item= 309 addl=0
  (25,27) type=1 normal           Item= 310 addl=0
  (26,27) type=1 normal           Item= 311 addl=0
  (27,27) type=1 normal           Item= 312 addl=0
  (28,27) type=1 normal           Item= 313 addl=0
  (29,27) type=1 normal           Item=  -1 addl=0
  (30,27) type=1 normal           Item= 314 addl=0
  ( 9,28) type=1 normal           Item= 315 addl=0
  (16,28) type=1 normal           Item= 319 addl=0
  (18,28) type=1 normal           Item=  -1 addl=0
  (19,28) type=1 normal           Item=  -1 addl=0
  (20,28) type=1 normal           Item=  -1 addl=0
  (21,28) type=1 normal           Item= 320 addl=0
  (22,28) type=1 normal           Item= 321 addl=0
  (27,28) type=1 normal           Item=  -1 addl=0
  (30,28) type=1 normal           Item= 322 addl=0
  ( 1,29) type=7 pillar           Item=  66 addl=0
  ( 9,29) type=1 normal           Item= 325 addl=0
  (15,29) type=1 normal           Item=  -1 addl=0
  (16,29) type=1 normal           Item= 327 addl=0
  (18,29) type=1 normal           Item= 328 addl=0
  (20,29) type=7 pillar           Item=  74 addl=0
  (22,29) type=1 normal           Item= 329 addl=0
  (23,29) type=1 normal           Item= 330 addl=0
  (24,29) type=1 normal           Item= 331 addl=0
  (25,29) type=1 normal           Item= 332 addl=0
  (27,29) type=1 normal           Item=  -1 addl=0
  (29,29) type=1 normal           Item=  -1 addl=0
  (30,29) type=1 normal           Item= 333 addl=0
  ( 6,30) type=1 normal           Item= 334 addl=0
  ( 7,30) type=1 normal           Item= 335 addl=0
  ( 8,30) type=1 normal           Item=  -1 addl=0
  ( 9,30) type=1 normal           Item= 336 addl=0
  (11,30) type=1 normal           Item=  11 addl=0
  (12,30) type=1 normal           Item=  -1 addl=0
  (13,30) type=1 normal           Item=  -1 addl=0
  (16,30) type=1 normal           Item= 106 addl=0
  (17,30) type=1 normal           Item=  -1 addl=0
  (18,30) type=1 normal           Item=  -1 addl=0
  (23,30) type=7 pillar           Item=  78 addl=0
  (25,30) type=1 normal           Item=  -1 addl=0
  (26,30) type=1 normal           Item= 337 addl=0
  (27,30) type=1 normal           Item= 338 addl=0
  (30,30) type=1 normal           Item= 339 addl=0

=== L08 Welcome, Tasty Primate  sealed=415 ===
  ( 2, 1) type=1 normal           Item=  -1 addl=0
  ( 5, 1) type=1 normal           Item=  -1 addl=0
  ( 6, 1) type=1 normal           Item=  -1 addl=0
  ( 7, 1) type=1 normal           Item=  95 addl=0
  ( 9, 1) type=1 normal           Item= 115 addl=0
  (10, 1) type=1 normal           Item=  -1 addl=0
  (11, 1) type=1 normal           Item= 116 addl=0
  (12, 1) type=1 normal           Item= 117 addl=0
  (13, 1) type=1 normal           Item=  -1 addl=0
  (14, 1) type=1 normal           Item=  -1 addl=0
  (15, 1) type=1 normal           Item= 118 addl=0
  (16, 1) type=1 normal           Item= 119 addl=0
  (17, 1) type=1 normal           Item=  -1 addl=0
  (19, 1) type=1 normal           Item=  -1 addl=0
  (20, 1) type=1 normal           Item= 120 addl=0
  (21, 1) type=1 normal           Item= 121 addl=0
  (25, 1) type=7 pillar           Item= 335 addl=0
  (26, 1) type=7 pillar           Item=  44 addl=0
  (27, 1) type=7 pillar           Item=   9 addl=0
  (28, 1) type=7 pillar           Item=   8 addl=0
  ( 1, 2) type=1 normal           Item= 122 addl=0
  ( 2, 2) type=1 normal           Item= 123 addl=0
  ( 3, 2) type=1 normal           Item=  -1 addl=0
  ( 4, 2) type=1 normal           Item=  -1 addl=0
  ( 5, 2) type=1 normal           Item=  -1 addl=0
  ( 9, 2) type=1 normal           Item= 124 addl=0
  (10, 2) type=1 normal           Item=  -1 addl=0
  (11, 2) type=1 normal           Item=  -1 addl=0
  (12, 2) type=1 normal           Item=  -1 addl=0
  (13, 2) type=1 normal           Item= 125 addl=0
  (14, 2) type=1 normal           Item= 126 addl=0
  (15, 2) type=1 normal           Item=  -1 addl=0
  (16, 2) type=1 normal           Item= 127 addl=0
  (17, 2) type=1 normal           Item= 128 addl=0
  (21, 2) type=1 normal           Item=  -1 addl=0
  (22, 2) type=1 normal           Item=  -1 addl=0
  (23, 2) type=1 normal           Item= 100 addl=0
  (25, 2) type=1 normal           Item= 338 addl=0
  (26, 2) type=1 normal           Item= 129 addl=0
  (27, 2) type=1 normal           Item= 130 addl=0
  (28, 2) type=1 normal           Item= 131 addl=0
  (29, 2) type=1 normal           Item= 132 addl=0
  (30, 2) type=1 normal           Item=  -1 addl=0
  ( 2, 3) type=1 normal           Item= 133 addl=0
  ( 5, 3) type=1 normal           Item= 134 addl=0
  ( 6, 3) type=1 normal           Item= 135 addl=0
  ( 7, 3) type=1 normal           Item= 360 addl=0
  (10, 3) type=1 normal           Item= 137 addl=0
  (16, 3) type=1 normal           Item=  -1 addl=0
  (17, 3) type=1 normal           Item=  -1 addl=0
  (19, 3) type=1 normal           Item= 138 addl=0
  (20, 3) type=1 normal           Item= 139 addl=0
  (21, 3) type=1 normal           Item=  -1 addl=0
  (25, 3) type=7 pillar           Item=  10 addl=0
  (26, 3) type=7 pillar           Item=  43 addl=0
  (27, 3) type=7 pillar           Item=  11 addl=0
  (28, 3) type=7 pillar           Item=  56 addl=0
  (30, 3) type=1 normal           Item= 140 addl=0
  ( 2, 4) type=1 normal           Item= 141 addl=0
  ( 3, 4) type=1 normal           Item= 142 addl=0
  ( 4, 4) type=1 normal           Item=  94 addl=0
  ( 5, 4) type=1 normal           Item=  -1 addl=0
  ( 9, 4) type=1 normal           Item=  -1 addl=0
  (10, 4) type=1 normal           Item=  -1 addl=0
  (11, 4) type=1 normal           Item=  -1 addl=0
  (12, 4) type=1 normal           Item= 143 addl=0
  (13, 4) type=1 normal           Item=  97 addl=0
  (14, 4) type=1 normal           Item=  -1 addl=0
  (16, 4) type=1 normal           Item= 144 addl=0
  (17, 4) type=1 normal           Item= 145 addl=0
  (21, 4) type=1 normal           Item= 146 addl=0
  (22, 4) type=1 normal           Item=  -1 addl=0
  (23, 4) type=1 normal           Item= 358 addl=0
  (30, 4) type=1 normal           Item=  -1 addl=0
  ( 5, 5) type=1 normal           Item=  -1 addl=0
  ( 6, 5) type=1 normal           Item=  -1 addl=0
  ( 7, 5) type=1 normal           Item= 148 addl=0
  ( 9, 5) type=1 normal           Item= 149 addl=0
  (10, 5) type=1 normal           Item= 150 addl=0
  (11, 5) type=1 normal           Item=  -1 addl=0
  (12, 5) type=1 normal           Item= 151 addl=0
  (13, 5) type=1 normal           Item= 152 addl=0
  (14, 5) type=1 normal           Item=  96 addl=0
  (16, 5) type=1 normal           Item=  -1 addl=0
  (17, 5) type=1 normal           Item=  -1 addl=0
  (18, 5) type=1 normal           Item= 153 addl=0
  (19, 5) type=1 normal           Item=  -1 addl=0
  (20, 5) type=1 normal           Item= 154 addl=0
  (21, 5) type=1 normal           Item= 155 addl=0
  (27, 5) type=1 normal           Item= 156 addl=0
  (28, 5) type=1 normal           Item=  -1 addl=0
  (29, 5) type=1 normal           Item=  -1 addl=0
  (30, 5) type=1 normal           Item= 337 addl=0
  ( 3, 6) type=1 normal           Item=  93 addl=0
  ( 4, 6) type=1 normal           Item=  -1 addl=0
  ( 5, 6) type=1 normal           Item=  -1 addl=0
  ( 9, 6) type=1 normal           Item= 157 addl=0
  (10, 6) type=1 normal           Item=  -1 addl=0
  (13, 6) type=1 normal           Item= 158 addl=0
  (16, 6) type=1 normal           Item=  -1 addl=0
  (17, 6) type=1 normal           Item= 159 addl=0
  (21, 6) type=1 normal           Item= 160 addl=0
  (22, 6) type=1 normal           Item=  -1 addl=0
  (23, 6) type=1 normal           Item= 101 addl=0
  (26, 6) type=7 pillar           Item=  14 addl=0
  (27, 6) type=1 normal           Item= 161 addl=0
  (28, 6) type=1 normal           Item=  -1 addl=0
  (29, 6) type=1 normal           Item= 336 addl=0
  (30, 6) type=1 normal           Item=  -1 addl=0
  ( 5, 7) type=1 normal           Item= 163 addl=0
  ( 6, 7) type=1 normal           Item= 164 addl=0
  ( 7, 7) type=1 normal           Item= 165 addl=0
  ( 8, 7) type=1 normal           Item= 166 addl=0
  ( 9, 7) type=1 normal           Item= 167 addl=0
  (10, 7) type=1 normal           Item= 168 addl=0
  (12, 7) type=7 pillar           Item=  61 addl=0
  (13, 7) type=1 normal           Item=  -1 addl=0
  (14, 7) type=7 pillar           Item= 323 addl=0
  (16, 7) type=1 normal           Item= 169 addl=0
  (17, 7) type=1 normal           Item= 170 addl=0
  (19, 7) type=1 normal           Item= 102 addl=0
  (20, 7) type=1 normal           Item= 171 addl=0
  (21, 7) type=1 normal           Item= 172 addl=0
  (26, 7) type=7 pillar           Item=  42 addl=0
  (27, 7) type=1 normal           Item= 173 addl=0
  (28, 7) type=1 normal           Item=  -1 addl=0
  (29, 7) type=1 normal           Item=  -1 addl=0
  (30, 7) type=1 normal           Item= 174 addl=0
  ( 3, 8) type=1 normal           Item= 175 addl=0
  ( 4, 8) type=1 normal           Item= 176 addl=0
  ( 5, 8) type=1 normal           Item=  -1 addl=0
  ( 9, 8) type=1 normal           Item= 177 addl=0
  (10, 8) type=1 normal           Item=  -1 addl=0
  (12, 8) type=7 pillar           Item=  62 addl=0
  (13, 8) type=1 normal           Item= 178 addl=0
  (14, 8) type=7 pillar           Item=  63 addl=0
  (16, 8) type=1 normal           Item= 179 addl=0
  (17, 8) type=1 normal           Item=  99 addl=0
  (21, 8) type=1 normal           Item= 180 addl=0
  (22, 8) type=1 normal           Item= 181 addl=0
  (23, 8) type=1 normal           Item= 182 addl=0
  (26, 8) type=7 pillar           Item= 325 addl=0
  (27, 8) type=1 normal           Item= 183 addl=0
  ( 5, 9) type=1 normal           Item= 184 addl=0
  ( 6, 9) type=1 normal           Item=  -1 addl=0
  ( 7, 9) type=1 normal           Item=  92 addl=0
  ( 9, 9) type=1 normal           Item= 185 addl=0
  (10, 9) type=1 normal           Item= 186 addl=0
  (12, 9) type=7 pillar           Item=  65 addl=0
  (13, 9) type=1 normal           Item=  98 addl=0
  (14, 9) type=7 pillar           Item=  64 addl=0
  (16, 9) type=1 normal           Item=  -1 addl=0
  (17, 9) type=1 normal           Item=  -1 addl=0
  (19, 9) type=1 normal           Item= 357 addl=0
  (20, 9) type=1 normal           Item=  -1 addl=0
  (21, 9) type=1 normal           Item= 188 addl=0
  (26, 9) type=7 pillar           Item= 324 addl=0
  (27, 9) type=1 normal           Item= 189 addl=0
  ( 3,10) type=1 normal           Item=  91 addl=0
  ( 4,10) type=1 normal           Item= 190 addl=0
  ( 5,10) type=1 normal           Item=  -1 addl=0
  (21,10) type=1 normal           Item= 191 addl=0
  (22,10) type=1 normal           Item= 192 addl=0
  (23,10) type=1 normal           Item= 103 addl=0
  (26,10) type=7 pillar           Item=  12 addl=0
  (27,10) type=1 normal           Item=  -1 addl=0
  (28,10) type=1 normal           Item=  -1 addl=0
  ( 5,11) type=1 normal           Item=  -1 addl=0
  ( 6,11) type=1 normal           Item=  -1 addl=0
  ( 7,11) type=1 normal           Item= 193 addl=0
  (10,11) type=1 normal           Item=  -1 addl=0
  (16,11) type=1 normal           Item= 194 addl=0
  (19,11) type=1 normal           Item=  -1 addl=0
  (20,11) type=1 normal           Item=  -1 addl=0
  (21,11) type=1 normal           Item=  -1 addl=0
  (28,11) type=1 normal           Item=  -1 addl=0
  ( 3,12) type=1 normal           Item= 195 addl=0
  ( 4,12) type=1 normal           Item=  -1 addl=0
  ( 5,12) type=1 normal           Item= 196 addl=0
  ( 9,12) type=1 normal           Item= 197 addl=0
  (10,12) type=1 normal           Item= 198 addl=0
  (11,12) type=1 normal           Item=  -1 addl=0
  (12,12) type=1 normal           Item=  -1 addl=0
  (13,12) type=1 normal           Item=  -1 addl=0
  (14,12) type=1 normal           Item=  -1 addl=0
  (15,12) type=1 normal           Item= 199 addl=0
  (16,12) type=1 normal           Item= 200 addl=0
  (17,12) type=1 normal           Item= 201 addl=0
  (21,12) type=1 normal           Item=  -1 addl=0
  (22,12) type=1 normal           Item= 202 addl=0
  (23,12) type=1 normal           Item= 203 addl=0
  (26,12) type=1 normal           Item= 204 addl=0
  (27,12) type=1 normal           Item=  -1 addl=0
  (28,12) type=1 normal           Item=  -1 addl=0
  ( 5,13) type=1 normal           Item= 205 addl=0
  ( 6,13) type=1 normal           Item=  -1 addl=0
  ( 7,13) type=1 normal           Item=  90 addl=0
  (10,13) type=1 normal           Item= 206 addl=0
  (16,13) type=1 normal           Item= 207 addl=0
  (19,13) type=1 normal           Item= 104 addl=0
  (20,13) type=1 normal           Item=  -1 addl=0
  (21,13) type=1 normal           Item= 208 addl=0
  (28,13) type=1 normal           Item= 209 addl=0
  (29,13) type=1 normal           Item= 210 addl=0
  (30,13) type=1 normal           Item= 359 addl=0
  ( 5,14) type=1 normal           Item= 212 addl=0
  (10,14) type=1 normal           Item= 213 addl=0
  (12,14) type=7 pillar           Item=   0 addl=0
  (14,14) type=7 pillar           Item=   3 addl=0
  (16,14) type=1 normal           Item=  -1 addl=0
  (21,14) type=1 normal           Item= 215 addl=0
  (22,14) type=1 normal           Item= 216 addl=0
  (23,14) type=1 normal           Item=  -1 addl=0
  (26,14) type=1 normal           Item= 340 addl=0
  (27,14) type=1 normal           Item= 342 addl=0
  (28,14) type=1 normal           Item= 217 addl=0
  ( 5,15) type=1 normal           Item= 218 addl=0
  ( 6,15) type=1 normal           Item= 219 addl=0
  ( 7,15) type=1 normal           Item=  -1 addl=0
  ( 8,15) type=1 normal           Item=  -1 addl=0
  ( 9,15) type=1 normal           Item=  -1 addl=0
  (10,15) type=1 normal           Item=  -1 addl=0
  (16,15) type=1 normal           Item= 220 addl=0
  (17,15) type=1 normal           Item= 221 addl=0
  (18,15) type=1 normal           Item= 222 addl=0
  (19,15) type=1 normal           Item= 223 addl=0
  (20,15) type=1 normal           Item= 224 addl=0
  (21,15) type=1 normal           Item= 225 addl=0
  (28,15) type=1 normal           Item=  -1 addl=0
  (29,15) type=1 normal           Item=  -1 addl=0
  (30,15) type=1 normal           Item=  -1 addl=0
  (10,16) type=1 normal           Item= 226 addl=0
  (12,16) type=7 pillar           Item=   4 addl=0
  (14,16) type=7 pillar           Item=   6 addl=0
  (16,16) type=1 normal           Item=  -1 addl=0
  (24,16) type=1 normal           Item= 227 addl=0
  (25,16) type=1 normal           Item=  -1 addl=0
  (26,16) type=1 normal           Item=  -1 addl=0
  (27,16) type=1 normal           Item= 228 addl=0
  (28,16) type=1 normal           Item= 229 addl=0
  ( 2,17) type=7 pillar           Item=  69 addl=0
  ( 4,17) type=7 pillar           Item=  74 addl=0
  (10,17) type=1 normal           Item=  -1 addl=0
  (16,17) type=1 normal           Item= 231 addl=0
  (19,17) type=7 pillar           Item=  18 addl=0
  (20,17) type=7 pillar           Item=  19 addl=0
  (21,17) type=1 normal           Item= 327 addl=0
  (22,17) type=7 pillar           Item= 328 addl=0
  (24,17) type=1 normal           Item= 232 addl=0
  (28,17) type=1 normal           Item= 233 addl=0
  (29,17) type=1 normal           Item= 234 addl=0
  (30,17) type=1 normal           Item=  -1 addl=0
  ( 9,18) type=1 normal           Item=  -1 addl=0
  (10,18) type=1 normal           Item=  -1 addl=0
  (11,18) type=1 normal           Item=  -1 addl=0
  (15,18) type=1 normal           Item= 237 addl=0
  (16,18) type=1 normal           Item=  -1 addl=0
  (17,18) type=1 normal           Item=  -1 addl=0
  (19,18) type=1 normal           Item= 343 addl=0
  (20,18) type=1 normal           Item=  -1 addl=0
  (21,18) type=1 normal           Item= 239 addl=0
  (22,18) type=1 normal           Item= 240 addl=0
  (23,18) type=1 normal           Item=  -1 addl=0
  (24,18) type=1 normal           Item=  -1 addl=0
  (26,18) type=1 normal           Item= 339 addl=0
  (27,18) type=1 normal           Item=  -1 addl=0
  (28,18) type=1 normal           Item= 242 addl=0
  (10,19) type=1 normal           Item=  -1 addl=0
  (16,19) type=1 normal           Item= 245 addl=0
  (19,19) type=7 pillar           Item= 333 addl=0
  (20,19) type=1 normal           Item= 332 addl=0
  (21,19) type=7 pillar           Item=  17 addl=0
  (22,19) type=7 pillar           Item= 330 addl=0
  (23,19) type=7 pillar           Item=  16 addl=0
  (24,19) type=7 pillar           Item=  15 addl=0
  (28,19) type=1 normal           Item= 246 addl=0
  (12,20) type=1 normal           Item= 347 addl=0
  (14,20) type=7 pillar           Item=  67 addl=0
  (27,20) type=7 pillar           Item=  20 addl=0
  (28,20) type=1 normal           Item=  -1 addl=0
  (29,20) type=7 pillar           Item= 311 addl=0
  ( 2,21) type=7 pillar           Item=  73 addl=0
  ( 4,21) type=7 pillar           Item= 317 addl=0
  ( 7,21) type=1 normal           Item= 248 addl=0
  ( 8,21) type=1 normal           Item= 249 addl=0
  (14,21) type=7 pillar           Item=  32 addl=0
  (22,21) type=1 normal           Item= 366 addl=0
  (24,21) type=1 normal           Item=  -1 addl=0
  (27,21) type=7 pillar           Item=  21 addl=0
  (28,21) type=1 normal           Item=  -1 addl=0
  (29,21) type=7 pillar           Item=  23 addl=0
  ( 7,22) type=1 normal           Item= 254 addl=0
  (17,22) type=7 pillar           Item=  36 addl=0
  (18,22) type=7 pillar           Item=  26 addl=0
  (19,22) type=7 pillar           Item=  47 addl=0
  (20,22) type=7 pillar           Item=  27 addl=0
  (22,22) type=1 normal           Item= 367 addl=0
  (24,22) type=1 normal           Item=  -1 addl=0
  (27,22) type=7 pillar           Item=  40 addl=0
  (28,22) type=1 normal           Item= 258 addl=0
  (29,22) type=7 pillar           Item=  22 addl=0
  ( 3,23) type=1 normal           Item=  -1 addl=0
  ( 5,23) type=1 normal           Item= 111 addl=0
  ( 6,23) type=1 normal           Item=  -1 addl=0
  ( 7,23) type=1 normal           Item= 259 addl=0
  ( 9,23) type=1 normal           Item= 260 addl=0
  (11,23) type=1 normal           Item= 262 addl=0
  (13,23) type=1 normal           Item=  -1 addl=0
  (15,23) type=1 normal           Item=  -1 addl=0
  (16,23) type=1 normal           Item=  -1 addl=0
  (17,23) type=1 normal           Item= 263 addl=0
  (18,23) type=1 normal           Item= 244 addl=0
  (19,23) type=1 normal           Item= 363 addl=0
